id,name,subheader,type,in_need,in_need_words,funding,funding_words,label,June_2015_in_need,June_2015_funding_required,Appeal_ID_2014,Appeal_ID_2015,Emergency_ID,ISO
0,Overall Total,,,74900000,74.9 MILLION,,,,,,,,,
1,Afghanistan,,L1,3800000,3.8 MILLION,405400000,405.4 MILLION,Required,3800000,405400000,,1070,16525,AFG
2,Burkina Faso,,L1,939148,939 K,98761764,98.7 MILLION,Required,969148,98761764,,1075,16529,BFA
3,Cameroon,,L1,1618000,1.6 MILLION,264000000,264 MILLION,Required,1666000,264023457,,1076,16530,CMR
4,Central African Republic,,L3,2000000,2 MILLION,612900000,612.9 MILLION,Required,2000000,612958926,,1071,16526,CAF
5,Central African Republic,Regional Refugee Response Plan,L3,461164,461 K,331000000,331 MILLION,Required,464414,331193888,,1094,14737,CAF_REG
6,Chad,,L1,2500000,2.5 MILLION,540882000,540.9 MILLION,Required,2500000,571597807,,1077,16531,TCD
7,Democratic Republic of the Congo,,L1,5200000,5.2 MILLION,692000000,692 MILLION,Required,5200000,692000000,,1065,16522,COD
8,Gambia,,L1,314504,314.5 K,23687972,23.7 MILLION,Required,314504,23687972,,1078,16532,GMB
9,Iraq,,L3,5000000,5 MILLION,1200000000,1.2 BILLION,Required,5600000,,,1097,16548,IRQ
10,Mali,,L1,1500000,1.5 MILLION,377381000,377.4 MILLION,Required,1550000,377381530,,1079,16533,MLI
11,Mauritania,,L1,547658,547.7 K,105171809,105.2 MILLION,Required,428000,105171809,,1080,16534,MRT
12,Myanmar,,L1,536400,536.4 K,189500000,189.5 MILLION,Required,536400,189544894,,1066,16516,MMR
13,Niger,,L1,2518000,2.5 MILLION,375720000,375.7 MILLION,Required,2500000,375720263,,1081,16535,NER
14,Nigeria,,L1,2800000,2.8 MILLION,100263000,100.3 MILLION,Required,2800000,100263495,,1082,16536,NGA
15,occupied Palestinian territory,,L2,1600000,1.6 MILLION,705300000,705.3 MILLION,Required,1600000,705288765,,1067,16523,PSE
16,Sahel,Regional,,0,,10336000,10.3 MILLION,Required,,10336000,,1084,16538,SAHEL
17,Senegal,,L1,1121291,1.1 MILLION,59427000,59.4 MILLION,Required,1100000,59427358,,1083,16537,SEN
18,Somalia,,L1,2760000,2.76 MILLION,862600000,862.6 MILLION,Required,2760000,862579628,,1063,16518,SOM
19,South Sudan,,L3,4100000,4.1 MILLION,1800000000,1.8 BILLION,Required,4600000,,,1062,16521,SSD
20,South Sudan,Refugee Response Plan,L3,821000,821 K,809900000,809.9 MILLION,Required,821000,809913788,,1091,16546,SSD_REG
21,Sudan,,L1,5400000,5.4 MILLION,1000000000,1 BILLION,Required,5400000,1035894093,,1068,16524,SDN
22,Syria,,L3,12200000,12.2 MILLION,2900000000,2.9 BILLION,Required,12184000,2893444593,,1069,16520,SYR
23,Syria,Regional Refugee and Resilience Plan,L3,5300000,5.3 MILLION,4500000000,4.5 BILLION,Required (Refugee and Resilience Component),5326641,4533248258,,1090,16520,SYR_REG
24,Ukraine,,L1,3200000,3.2 MILLION,316000000,316 MILLION,Required,3170000,316000000,,1074,16528,UKR
25,Yemen,,L1,8200000,8.2 MILLION,747500000,747.5 MILLION,Required,8170827,747517644,,1087,16519,YEM
26,Nigeria,Regional Refugee Response Plan,,,,,,Required,240000,174409924,,1082,,NGA
27,Burundi,Regional Refugee Response Plan,,,,,,Required,200000,206947543,,,,BDI
28,Libya,,,,,,,Required,331302,35738580,,1061,,LBY
29,Honduras,,,,,,,Required,154000,13200000,,1089,,HND
30,Guatemala,,,,,,,Required,180000,23806581,,1088,,GTM
31,Djibouti,,,,,,,Required,273650,81439734,,,,DJI
32,Nepal,,,,,,,Required,2818396,421862342,,1100,,NPL
33,Vanuatu,,,,,,,Required,158000,37717721,,1096,,VUT
